No,Urls,Video Name,View,Like,Comm,published_date,duration,minute,type,Engagement Rate,AVG View Duration,Views to Likes Ratio
287,https://www.youtube.com/watch?v=X9Lf6j1S5_I,ผีห้อยหัว ผีไม่มีหัว EP.2【The Bridge Curse 2: The Extrication】,93,12,1,2024-06-09,1:38:49,98.82,เล่นเกม,0.1397849462,0.03,7.75
288,https://www.youtube.com/watch?v=JfBKKGok8w4,【ฟรี】สิ่งที่คุณหนูไม่แนะนำให้ทำ | Marine Chariot [Vtuber],122,28,3,2024-06-08,1:04:43,64.72,รีวิว/สาระ,0.2540983607,0.02,4.357142857
289,https://www.youtube.com/watch?v=zmnZuxgWtzM,เด็กมัธยมที่ติดอยู่ในโรงเรียนร้าง | [เล่าเรื่องผี EP.7],392,31,0,2024-06-02,1:04:13,64.22,เล่าเรื่องผี,0.07908163265,0.02,12.64516129
290,https://www.youtube.com/watch?v=WTeWoVmh_KM,【FREETALK】คิดจะพัก คิดถึงคุณหนู,93,17,4,2024-06-01,1:00:21,60.35,ฟรีทอร์ก,0.2258064516,0.02,5.470588235
291,https://www.youtube.com/watch?v=5Kvm2dUeYpA,【FREETALK】คุณหนูมารีนจอมเล่าเรื่อง,153,29,1,2024-05-18,1:02:34,62.57,ฟรีทอร์ก,0.1960784314,0.02,5.275862069
292,https://www.youtube.com/watch?v=nUFbPyPdT5k,【Only climb : better together】ปีนทำไม ภาคต่อกับคุณหนูสายโดด,152,19,0,2024-05-04,2:04:51,124.85,เล่นเกม,0.125,0.04,8
293,https://www.youtube.com/watch?v=qlnY0LaISJg,【FREETALK】เรื่องราวของ Vtuber ที่ทุกคนอาจจะไม่เข้าใจ,166,33,0,2024-05-04,1:03:16,63.27,ฟรีทอร์ก,0.1987951807,0.02,5.03030303
294,https://www.youtube.com/watch?v=SGEBH-SBcJA,【Maid of the Dead】พิทักษ์โลกกับสาวๆ ด้วยความยุติธรรม! 4 (จบแล้ว),136,33,0,2024-04-27,2:15:42,135.70,เล่นเกม,0.2426470588,0.04,4.121212121
295,https://www.youtube.com/watch?v=5LkZ-Ypm3PM,【Review】รีวิวอนิเมะขวัญใจคุณหนูมารีน - สรุปความรู้สึกและขยายความหมาย / K-ON Anime,218,27,2,2024-04-27,1:03:25,63.42,รีวิว/สาระ,0.1330275229,0.02,8.074074074
296,https://www.youtube.com/watch?v=tdn0zWYGKFM,More Marine Please!,341,56,18,2024-04-22,0:00:48,0.80,ฟรีทอร์ก,0.2170087977,0,6.089285714
297,https://www.youtube.com/watch?v=2wqGEpEgdGo,【Announcement】เนื้อหาสำคัญ และ เป้าหมายในปีนี้ #Vtuber,157,30,2,2024-04-21,1:06:15,66.25,ประกาศ/อีเวนต์,0.2038216561,0.02,5.233333333
298,https://www.youtube.com/watch?v=TJtGU56odoE,【1st Year Anniversary】ครบรอบ 1 ปีแล้ว เป็นคุณหนูรึยัง ?,817,127,5,2024-04-16,1:09:14,69.23,ประกาศ/อีเวนต์,0.1615667075,0.02,6.433070866
299,https://www.youtube.com/watch?v=nSlO6E7XPcM,รถไฟใต้ดิน เงาปริศนาที่ยืนมอง | [เล่าเรื่องผี EP.6],381,42,1,2024-04-15,1:02:09,62.15,เล่าเรื่องผี,0.1128608924,0.02,9.071428571
300,https://www.youtube.com/watch?v=M2kaBt3B7Aw,ไคจูสายพันธุ์ใหม่ Yeenjira บุกบ้านคุณหนู #Vtuber,182,22,2,2024-04-07,1:01:03,61.05,ฟรีทอร์ก,0.1318681319,0.02,8.272727273
301,https://www.youtube.com/watch?v=deRuCgxJxrs,【Maid of the Dead】ยอมเป็นคนบาป เพื่อช่วยเหล่าเมด 3,177,36,0,2024-04-01,1:29:31,89.52,เล่นเกม,0.2033898305,0.03,4.916666667
302,https://www.youtube.com/watch?v=GKpmKB7-g7E,เมื่อคุณหนูมารีนจะมีมังงะเป็นของตัวเอง Secret garden บทที่ 1 #Vtuber,589,40,0,2024-03-31,1:02:45,62.75,แต่งนิยาย,0.06791171477,0.02,14.725
303,https://www.youtube.com/watch?v=f7V2PSTOoTY,【Honkai Star Rail 2.1】สิบโรลก็พอ! ไม่ขอมากกว่านี้  | Marine Chariot,516,22,0,2024-03-28,1:34:41,94.68,เล่นเกม,0.04263565891,0.03,23.45454545
304,https://www.youtube.com/watch?v=zHysgaZ6_tA,【HoloCure】Let&#39;s go  | Marine Chariot,399,35,3,2024-03-25,1:42:43,102.72,เล่นเกม,0.09523809524,0.03,11.4
305,https://www.youtube.com/watch?v=0sa5HO3_M7A,【Maid of the Dead】เขย่าขวดน้ำสีฟ้าพิทักษ์โลก 2,467,34,1,2024-03-09,2:00:55,120.92,เล่นเกม,0.07494646681,0.04,13.73529412
306,https://www.youtube.com/watch?v=xafekkCHfJc,ช่วงเวลาฮีลลิ่ง..พักผ่อนหย่อนใจ  🦋,216,23,1,2024-03-09,1:02:08,62.13,ฟรีทอร์ก,0.1111111111,0.02,9.391304348
307,https://www.youtube.com/watch?v=oqrLVCEEa7U,Stay with me : Short Cover By Marine Chariot (In the karaoke room) #shorts #vtuber #cover #japan,387,67,14,2024-03-05,0:00:46,0.77,Shots,0.2093023256,0,5.776119403
308,https://www.youtube.com/watch?v=dmOCSGKSFEE,You (=I) : Short Cover By Marine Chariot (In the onsen room) #shorts #vtuber #cover #japan,253,45,6,2024-03-03,0:00:32,0.53,Shots,0.2015810277,0,5.622222222
309,https://www.youtube.com/watch?v=uupOd6cQhL0,【Maid of the Dead】เหล่าเมดผู้พิทักษ์คุณหนู ! 1,562,49,0,2024-03-03,1:25:45,85.75,เล่นเกม,0.0871886121,0.03,11.46938776
310,https://www.youtube.com/watch?v=qLLQUb-U_aM,เรื่องเล่าจากประสบการณ์จริง part 2/2 #vtuber #shorts #story #เรื่องผี,325,55,5,2024-02-26,0:00:54,0.90,Shots,0.1846153846,0,5.909090909
311,https://www.youtube.com/watch?v=3NoeEGnx6Is,เรื่องเล่าจากประสบการณ์จริง part 1/2 #vtuber #shorts #story #เรื่องผี,327,55,5,2024-02-26,0:00:50,0.83,Shots,0.1834862385,0,5.945454545
312,https://www.youtube.com/watch?v=Fy9makDEETw,วาดรูปต่างๆให้ทุกคนดู ด้วยเม้าส์หนู 🦋 | Marine Chariot #vtuber,575,34,2,2024-02-26,1:23:11,83.18,วาดรูป,0.06260869565,0.03,16.91176471
313,https://www.youtube.com/watch?v=rlbDhOfrUXc,มาพูดคุยกัน .. เรื่องอะไรก็ได้  🦋,416,22,2,2024-02-25,1:01:04,61.07,ฟรีทอร์ก,0.05769230769,0.02,18.90909091
314,https://www.youtube.com/watch?v=AKflhJaXYp4,ประสบการณ์น่ากลัว | จากคุณหนูและเรื่องเล่าของเพื่อนๆ [เล่าเรื่องผี EP.4],346,35,2,2024-02-18,1:14:53,74.88,เล่าเรื่องผี,0.1069364162,0.02,9.885714286
315,https://www.youtube.com/watch?v=93RiH0so0lY,【FREETALK &amp; CHILL】🦋 ขอต้อนรับคนแข็งแรง กลับมาแล้ว! !  | Marine Chariot #Vtuber,511,26,0,2024-02-17,1:01:30,61.50,ฟรีทอร์ก,0.05088062622,0.02,19.65384615
316,https://www.youtube.com/watch?v=1yQfoDMA7-U,「YOASOBI   たぶん Tabun」Full cover by Marine Chariot,8737,207,24,2024-02-14,0:04:22,4.37,ร้องเพลง,0.02643928122,0,42.20772947
317,https://www.youtube.com/watch?v=oQDfXS3XlQo,ค น เ เ ข็ ง เ เ ก ร่ ง เ เ ว ะ ม า คุ ย . . .,548,28,0,2024-02-11,0:30:07,30.12,ฟรีทอร์ก,0.05109489051,0.01,19.57142857
318,https://www.youtube.com/watch?v=-8IQwZCoiFA,【Metal : Hellsinger】🦋 หวนคืนสู่นรก พิฆาตอสูร 2 | Marine Chariot #Vtuber,540,27,0,2024-02-04,1:07:07,67.12,เล่นเกม,0.05,0.02,20
319,https://www.youtube.com/watch?v=tdMyfTRH_Ik,【FREETALK &amp; CHILL】🦋 ถ้าวันนี้ฝันเป็นจริง .. จะเป็นยังไง  | Marine Chariot #Vtuber,641,34,1,2024-02-03,1:10:43,70.72,ฟรีทอร์ก,0.05460218409,0.02,18.85294118
320,https://www.youtube.com/watch?v=a6cNKUJsUrU,【FREETALK &amp; CHILL】🦋 ก็แค่อยากเล่าเรื่อง พูดคุยเรื่อยเปื่อย~  | Marine Chariot #Vtuber,748,45,3,2024-01-27,1:11:26,71.43,ฟรีทอร์ก,0.06417112299,0.02,16.62222222
321,https://www.youtube.com/watch?v=lnVsUUCDFps,【HOW TO &amp; CONCEPT】🦋 แนวทางการเป็น Vtuber ฉบับคุณหนูมารีน  | Marine Chariot #Vtuber,874,53,5,2024-01-21,1:40:29,100.48,รีวิว/สาระ,0.06636155606,0.03,16.49056604
322,https://www.youtube.com/watch?v=COu1YR75m8U,【FREETALK &amp; HEAL】🦋 คุณหนูขอฮีลทุกคนด้วยหัวใจที่มี  | Marine Chariot #Vtuber,481,28,4,2024-01-20,1:32:50,92.83,ฟรีทอร์ก,0.06652806653,0.03,17.17857143
